Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uF","C_0201_0603Metric",204.905000,-90.000000,0.000000,top
"C4","2.2nF","C_0201_0603Metric",189.345000,-134.500000,180.000000,top
"C5","4.7pf","C_0201_0603Metric",189.345000,-136.000000,180.000000,top
"C6","1.5pF","C_0201_0603Metric",186.280000,-129.285000,180.000000,top
"C7","1.0pF","C_0201_0603Metric",186.280000,-130.785000,180.000000,top
"C8","10nF","C_0201_0603Metric",194.963379,-142.500000,180.000000,top
"C9","1nF","C_0201_0603Metric",194.950000,-141.000000,180.000000,top
"C10","33nF","C_0201_0603Metric",194.155000,-139.000000,0.000000,top
"C11","22pF","C_0201_0603Metric",194.250000,-131.095000,90.000000,top
"C12","22pF","C_0201_0603Metric",195.500000,-131.095000,90.000000,top
"C13","220pF","C_0201_0603Metric",182.100000,-133.630000,-90.000000,top
"C14","10nF","C_0201_0603Metric",183.500000,-133.605000,-90.000000,top
"C15","1uF","C_0201_0603Metric",185.000000,-133.605000,-90.000000,top
"C16",".3pF","C_0201_0603Metric",181.655000,-137.900000,180.000000,top
"C17","1pF","C_0201_0603Metric",181.655000,-139.400000,180.000000,top
"C18","1pF","C_0201_0603Metric",181.655000,-142.400000,180.000000,top
"C19","1pF","C_0201_0603Metric",186.655000,-138.900000,180.000000,top
"C20","1pF","C_0201_0603Metric",186.655000,-141.900000,180.000000,top
"C21",".1uF","C_0201_0603Metric",201.845000,-142.000000,0.000000,top
"C22",".1uF","C_0201_0603Metric",204.820000,-100.900000,180.000000,top
"C23","22uF","C_0201_0603Metric",206.155000,-112.500000,0.000000,top
"C24","22uF","C_0201_0603Metric",186.750000,-111.000000,0.000000,top
"C25","10uF","C_0201_0603Metric",186.500000,-103.000000,0.000000,top
"C26","10uF","C_0201_0603Metric",186.345000,-97.000000,0.000000,top
"C27","10uF","C_0201_0603Metric",201.845000,-140.500000,0.000000,top
"C28","10uF","C_0201_0603Metric",201.000000,-132.500000,90.000000,top
"C29",".1uF","C_0201_0603Metric",202.369466,-132.495460,90.000000,top
"C30","22pF","C_0201_0603Metric",205.369466,-132.995460,0.000000,top
"C31","22pF","C_0201_0603Metric",205.375712,-131.796221,0.000000,top
"C32",".1uF","C_0201_0603Metric",195.000000,-121.750000,180.000000,top
"D1","SS14","D_SMA",189.500000,-116.500000,0.000000,top
"D2","SS14","D_SMA",202.000000,-108.500000,90.000000,top
"D3","SS14","D_SMA",194.500000,-66.750000,0.000000,top
"D4","SS14","D_SMA",194.500000,-61.500000,0.000000,top
"D9","LED","LED_0805_2012Metric",208.437500,-84.500000,0.000000,top
"D10","LED","LED_0805_2012Metric",208.462500,-88.000000,0.000000,top
"D11","LED","LED_0805_2012Metric",179.950000,-106.000000,0.000000,top
"D12","LED","LED_0805_2012Metric",194.012500,-126.000000,0.000000,top
"J-18650","35317-0221","353170221",194.250000,-86.500000,-90.000000,top
"J-BattLED1","35317-0221","353170221",186.100000,-91.000000,90.000000,top
"J-Joystick1","35317-0620","RHDR6W107P420_2X3_1380X960X1310P",194.700000,-73.500000,0.000000,top
"J-LED1","35317-0221","353170221",186.100000,-62.500000,90.000000,top
