"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C21,C22,C29,C32",".1uF","Capacitor_SMD:C_0201_0603Metric","~","5","","",""
"C4","2.2nF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C5","4.7pf","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C6","1.5pF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C7","1.0pF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C8,C14","10nF","Capacitor_SMD:C_0201_0603Metric","~","2","","",""
"C9","1nF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C10","33nF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C11,C12,C30,C31","22pF","Capacitor_SMD:C_0201_0603Metric","~","4","","",""
"C13","220pF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C15","1uF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C16",".3pF","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"C17,C18,C19,C20","1pF","Capacitor_SMD:C_0201_0603Metric","~","4","","",""
"C23,C24","22uF","Capacitor_SMD:C_0201_0603Metric","~","2","","",""
"C25,C26,C27,C28","10uF","Capacitor_SMD:C_0201_0603Metric","~","4","","",""
"D1,D2,D3,D4","SS14","Diode_SMD:D_SMA","https://www.vishay.com/docs/88746/ss12.pdf","4","","",""
"D9,D10,D11,D12","LED","LED_SMD:LED_0805_2012Metric","~","4","","",""
"J-18650,J-BattLED1,J-LED1,J-Spare1,J-Trigger1","35317-0221","MiniFitJR2x1:353170221","https://www.molex.com/pdm_docs/sd/353170221_sd.pdf","5","","",""
"J-Joystick1","35317-0620","MiniFitJR3x2:RHDR6W107P420_2X3_1380X960X1310P","https://altium.componentsearchengine.com/Datasheets/1/35317-0620.pdf","1","","",""
"J-PowerSwitch1","35317-0420","MiniFitJR2x2:SHDR4W107P420_2X2_960X960X1280P","https://www.molex.com/pdm_docs/sd/353170820_sd.pdf","1","","",""
"J1","USB_C_Receptacle","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J2","SMA-RP","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","~","1","","",""
"L1","8.2nH","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"L2,L4,L6","2.7nH","Capacitor_SMD:C_0201_0603Metric","~","3","","",""
"L3","3.9nH","Capacitor_SMD:C_0201_0603Metric","~","1","","",""
"L5","4.7uH","Inductor_SMD:L_1206_3216Metric","~","1","","",""
"Q2","AO3401A","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","1","","",""
"Q3","FS8205A","Package_TO_SOT_SMD:SOT-23-6","http://www.techpublic.com.tw/pdf/FS8205A.pdf","1","","",""
"R1,R2,R12,R13","1K","Capacitor_SMD:C_0805_2012Metric","~","4","","",""
"R3,R9","1.2K","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"R5","22k","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"R6,R8","1k","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"R7","2k","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"R10","220","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"R11,R18","5.1K","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"R14","100","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"R15","32.4K","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"R16,R17","10K","Capacitor_SMD:C_0805_2012Metric","~","2","","",""
"R19","330","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"U2","TP4056-42-ESOP8","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias","https://www.lcsc.com/datasheet/lcsc_datasheet_2410121619_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056-42-ESOP8_C16581.pdf","1","","",""
"U3","ATmega32U4-A","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf","1","","",""
"U4","nRF24L01P","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf","1","","",""
"U5","RFX2401C","RFX2401C:QFN50P300X300X60-17N","","1","","",""
"U6","AMS1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","1","","",""
"U8","DW01A","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF","1","","",""
"U9","MT3608","Package_TO_SOT_SMD:SOT-23-6","https://www.olimex.com/Products/Breadboarding/BB-PWR-3608/resources/MT3608.pdf","1","","",""
"Y1,Y2","16MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","2","","",""
